Movie,Lead
Uri: The Surgical Strike,Vicky Kaushal
Batla House,John Abraham
The Accidental Prime Minister,Anupam Kher
Why Cheat India,Emraan Hashmi
Mard Ko Dard Nahi Hota,Abhimanyu Dassani
Soni,Geetika Vidya Ohlyan
Fraud Saiyaan,Arshad Warsi
Bombairiya,Radhika Apte
Manikarnika: The Queen of Jhansi,Kangana Ranaut
Thackeray,Nawazuddin Siddiqui
Amavas,Ali Asgar
Gully Boy,Ranveer Singh
Hum Chaar,Prit Kamani
Total Dhamaal,Ajay Devgn
Sonchiriya,Sushant Singh Rajput
Badla,Amitabh Bachchan
Hamid,Talha Arshad Reshi
Photograph,Nawazuddin Siddiqui
Risknamaa,Garima Agarwal
Mere Pyaare Prime Minister,Rasika Agashe
22 Yards,Barun Sobti
Kesari,Akshay Kumar
Notebook,Zaheer Iqbal
Junglee,Vidyut Jammwal
Gone Kesh,Deepika Amin
Albert Pinto Ko Gussa Kyoon Aata Hai?,Manav Kaul
Kabir Singh,Shahid Kapoor
Article 15,Ayushmann Khurrana
Super 30,Hrithik Roshan
Mission Mangal,Akshay Kumar
Chhichhore,Sushant Singh Rajput
Dream Girl,Ayushmann Khurrana
War,Hrithik Roshan
Good Newwz,Akshay Kumar
Tanhaji,Ajay Devgn
Shubh Mangal Zyada Saavdhan,Ayushmann Khurrana
Thappad,Taapsee Pannu
Ludo,Rajkummar Rao
Dangal,Aamir Khan
Andhadhun,Ayushmann Khurrana
Stree,Rajkummar Rao
Raazi,Alia Bhatt
Sanju,Ranbir Kapoor
Padmaavat,Ranveer Singh
Newton,Rajkummar Rao
Pink,Amitabh Bachchan
Neerja,Sonam Kapoor
Airlift,Akshay Kumar
Masaan,Vicky Kaushal
Talvar,Irrfan Khan
Drishyam,Ajay Devgn
